,0
0,http://www.camara.rj.gov.br/
1,http://www.camara.rj.gov.br/diariocmrj.php?m1=comunicacao&m2=diariocmrj
2,http://www.camara.rj.gov.br/riotv_historia.php?mc1=objatrib
3,http://www.camara.rj.gov.br/orcamento_municipal.php?m1=legislacao&m2=orc_municipal
4,http://www.camara.rj.gov.br/portransp.php?mt1=portransp
5,https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2018/12/camara-de-porto-alegre-cria-auxilio-saude-que-pode-gerar-gasto-de-r-1-milhao-por-ano-cjpynmo3v0n0m01rxcfi0599b.html
6,https://www.otaboanense.com.br/na-terceira-tentativa-camara-municipal-deve-votar-orcamento-na-quarta-feira-26/
7,https://www.gp1.com.br/noticias/concurso-publico-da-camara-municipal-de-cocal-e-homologado-445840.html
8,https://pt.wikipedia.org/wiki/C%C3%A2mara_Municipal_do_Rio_de_Janeiro
9,https://pt.wikipedia.org/wiki/C%C3%A2mara_municipal_(Brasil)
10,https://www.tripadvisor.com/Attraction_Review-g303506-d7160410-Reviews-Palacio_Pedro_Ernesto_Camara_Municipal_do_Rio_de_Janeiro-Rio_de_Janeiro_State_of_.html
11,http://www.cmdc.rj.gov.br/
12,http://www.cabofrio.rj.leg.br/
13,https://pt-br.facebook.com/CamaraRio/
14,http://cmps.rj.gov.br/
15,https://site.camarafranca.sp.gov.br/
16,http://www.camaraourinhos.sp.gov.br/
17,http://www.jundiai.sp.leg.br/
18,http://www.cmg.es.gov.br/
19,http://www.camarasantos.sp.gov.br/
20,http://www.cmarapongas.pr.gov.br/
21,http://www.camaracaieiras.sp.gov.br/
22,http://www.camarasorocaba.sp.gov.br/sitecamara/index.jsp
23,https://www.camarasaoleopoldo.rs.gov.br/
24,https://www.camaracrz.rs.gov.br/
25,http://www.cmmoc.mg.gov.br/
26,http://camaraitatiba.sp.gov.br/
27,https://camarasjriopardo.sp.gov.br/
28,http://www.camaradourados.ms.gov.br/
29,http://www.camaramatao.sp.gov.br/
30,https://www.camaratf.ba.gov.br/
31,http://www.camaradeparnamirim.com.br/
32,http://www.camaravalinhos.sp.gov.br/
33,http://www.camarapiracaia.sp.gov.br/
34,http://www.camaraguaruja.sp.gov.br/
35,https://www.patrocinio.mg.leg.br/
36,http://www.camaracuiaba.mt.gov.br/
37,http://www.camaravinhedo.sp.gov.br/
38,https://www.camaracacador.sc.gov.br/
39,https://www.camaracg.pb.gov.br/
40,https://www.fozdoiguacu.pr.leg.br/
41,http://www.camaraubatuba.sp.gov.br/
42,http://www.camaraguarulhos.sp.gov.br/
